race,2002_avg_default,2003_avg_default,2004_avg_default,2005_avg_default,2006_avg_default,2007_avg_default,2008_avg_default,2009_avg_default,2010_avg_default,2011_avg_default,2012_avg_default,2013_avg_default,2014_avg_default,2015_avg_default,2016_avg_default,2017_avg_default,2018_avg_default,2019_avg_default,2020_avg_default,Trial
ASIAN ALONE,0.00024993751562107924,0.012623422072240986,0.01674860428297642,0.012561714892819098,0.025048747562621876,0.021227914071437648,0.01848640271576696,0.016372013986471035,0.014605988163610362,0.013183863582537314,0.012014100381285808,0.011133085931423703,0.010351025805251934,0.00963443010711329,0.009043158065738854,0.008462694886910649,0.008054532885323318,0.007602312559748747,0.007198172440051165,0
WHITE ALONE,0.028016009148084664,0.03501146434384861,0.03306482666345145,0.03442522046318419,0.033662847912931504,0.029193236305253834,0.025647075317019485,0.022889590589383224,0.020626825792901315,0.01917559944357672,0.01763108945426306,0.016439929682595666,0.015814979694217746,0.014893170026442637,0.014078325539644276,0.013292644156514433,0.012685868392822708,0.012061404268798648,0.011575028557787359,0
BLACK ALONE,0.04863605475196586,0.038881607688947106,0.051810621015501046,0.06312953569088131,0.06497903584575104,0.05538497676213483,0.04934156440113002,0.045165402849895786,0.04082784120238647,0.03826187691937788,0.03507980881955086,0.03244640920844111,0.030128828495451843,0.028097687819519934,0.026362753292520358,0.024759372281667025,0.023324294974716997,0.0227478032356081,0.02226821739941398,0
ASIAN ALONE,0.000263088660878652,0.0001315616366268646,0.052714674151390306,0.03953687257417271,0.031797259404264255,0.026709924003377572,0.02329367078795397,0.0239240981536466,0.021568567121011628,0.01947168134218491,0.017746386167438732,0.016301946466361183,0.01497831242922154,0.013963865261648167,0.013029497592981554,0.012233643391912907,0.011510484228501983,0.010868048557386656,0.010339080544534696,1
WHITE ALONE,0.03499354651934239,0.0325751955657686,0.03176907209862456,0.03232920746463008,0.0265054564283278,0.02336843803052524,0.02036252837555219,0.018397769814827325,0.01675251020198454,0.015266486113107658,0.01405947012958042,0.013381488566165167,0.01258270994381816,0.01188373997444736,0.011356666073067734,0.010904603097808718,0.010656865080784672,0.010071930025228437,0.009761101794347304,1
BLACK ALONE,0.060221036012329865,0.07146347881658577,0.07019874188616826,0.07591886301967699,0.06367913541715187,0.05616235077071163,0.05042144875206622,0.04565305339156234,0.04086313033305167,0.03814374454453773,0.03672627557597208,0.03396651758296543,0.03152896358844004,0.02951017256639943,0.028158192620571176,0.027032393643719566,0.026087500847674194,0.025239855319864835,0.02390335565437851,1
ASIAN ALONE,0.049012435991221626,0.04889647603950742,0.03259897569303316,0.03664410706664223,0.029751002425622453,0.0251453914062173,0.02161792741268298,0.022539468184302747,0.02301657998333384,0.023341364213362303,0.021249498832574654,0.019586530727592866,0.020059718242119384,0.020695099716170784,0.01938346155877535,0.018168017029421946,0.01709600782596543,0.016119822550182294,0.015270245905049884,2
WHITE ALONE,0.030095907389802723,0.033700158242128464,0.037709435581886996,0.038811555921913654,0.032276204703656,0.027619481410796842,0.023921770935789177,0.02142223748269423,0.019978868909863667,0.018597607186846,0.017559281907811752,0.016478689836625482,0.015432767402544845,0.01435629487779988,0.01393992949584455,0.013158691347520679,0.012547325262470377,0.011922571155866701,0.01137437078637149,2
BLACK ALONE,0.07819701585813599,0.0781610093355728,0.07294080883310328,0.07618991816566079,0.06394977131522428,0.056193030996755655,0.04915173032272335,0.04306735126640182,0.03891985486522509,0.03565921872354083,0.03334119234802968,0.030974086298441894,0.029459821459877578,0.027511280214274958,0.026418756641543917,0.02527843033641397,0.023801926436309184,0.023438494964365897,0.022721011498252897,2
ASIAN ALONE,0.0002940311673036433,0.029554477282752623,0.04911283207528683,0.051540327917064865,0.047675733587286384,0.04045250239886866,0.034824572844658896,0.03057135223846419,0.02743056744632033,0.024797993870158797,0.022562744711416505,0.02075075775238977,0.019488576920269507,0.01824559805015824,0.01696997944958789,0.015955857453038735,0.014971682772284667,0.014126734978219035,0.013349777503708249,3
WHITE ALONE,0.028279996702041177,0.03180782209763189,0.0329837731300624,0.03268836075276582,0.0267965866110369,0.022985840754353393,0.020431254703588864,0.018454531055618895,0.01663136801626164,0.015533032389373314,0.014530062962471169,0.013761061439527378,0.012945312069829962,0.012322140190538566,0.011850565719332962,0.011213667708727337,0.010858175906762968,0.01039541340397998,0.009982026895111185,3
BLACK ALONE,0.08554824373985137,0.07268920131618306,0.06555368792911875,0.07053268092562126,0.05873560968666036,0.050396177157600586,0.04637024675169865,0.041091067006255755,0.03681349302320691,0.03459140642260883,0.0328099928192126,0.030435604970353802,0.029059410860773238,0.027705769135162428,0.025902882450979714,0.024943734764745873,0.023493696455100133,0.022215312519086483,0.021102209376532843,3
ASIAN ALONE,0.09545346346108063,0.05963575764789908,0.04209730274766832,0.03190879561811344,0.025690990205630482,0.02140934148113327,0.022094775927355537,0.019512353495016344,0.017572585596912327,0.015899050289674865,0.01458702458678185,0.013266815302090396,0.012265055815187442,0.011382360182572326,0.010693759897510757,0.010016499725004513,0.009419915048353489,0.008903571798936305,0.008382030934017681,4
WHITE ALONE,0.03633127928233315,0.038746738821193616,0.02879003425100446,0.02283125291295851,0.019390256657508598,0.017132725625855216,0.015122597966811813,0.013442893209889561,0.012281114878481825,0.011353064518443978,0.010824202159607332,0.010480285470706896,0.009789092039261371,0.009278409447653013,0.00919445828346177,0.008622211493380827,0.008193686664332511,0.007880484546560207,0.007534553819080858,4
BLACK ALONE,0.09097795621543814,0.08336805424036964,0.05932454650818031,0.04844108545083259,0.03906555066976791,0.03420179199726503,0.030838090775699434,0.027362939136333253,0.024615899449808576,0.02257199844766744,0.02144252726688156,0.019869978075033767,0.01834260689275813,0.017688161832600913,0.016519776637451744,0.015540762136006081,0.015189722398468497,0.014884479812828033,0.014610444934542777,4
